封面链接,收费情况,追番人数,播放状态,番剧名,番剧链接
http://i0.hdslb.com/bfs/bangumi/b8e72ea69e57e0b7ac85d8b4d366554fd866df1a.jpg,,445.8万追番,全13话,OVERLORD,https://www.bilibili.com/bangumi/play/ss2576
http://i0.hdslb.com/bfs/bangumi/e4edc4b821e92840453fe6e36ade81d92e85d0bc.jpg,会员专享,434.9万追番,全12话,干物妹！小埋R,https://www.bilibili.com/bangumi/play/ss6446
http://i0.hdslb.com/bfs/bangumi/image/473b8f1c7e23c79b868ef46df3f3cff67362f285.jpg,会员专享,432.3万追番,全24话,刀剑神域 Alicization,https://www.bilibili.com/bangumi/play/ss25510
http://i0.hdslb.com/bfs/bangumi/image/aad797f1f0212aba5578a1ed1c992ef1b9ff7c4b.jpg,限时免费,425万追番,全24话,某科学的超电磁炮,https://www.bilibili.com/bangumi/play/ss425
http://i0.hdslb.com/bfs/bangumi/6b6b2423ceff5fbdfbbee3a09a85173b8bd59a03.jpg,,424.5万追番,全22话,四月是你的谎言,https://www.bilibili.com/bangumi/play/ss1699
http://i0.hdslb.com/bfs/bangumi/image/ef60e620eb507d48c1e8e6002728fae4553f9161.png,会员专享,414.8万追番,全22话,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,https://www.bilibili.com/bangumi/play/ss28320
http://i0.hdslb.com/bfs/bangumi/image/9d8d2922b08f3d08d018e6e59e49607cf16d39e6.png,会员专享,411.8万追番,全26话,JOJO的奇妙冒险,https://www.bilibili.com/bangumi/play/ss4334
http://i0.hdslb.com/bfs/bangumi/7203889dcc88b3efb9c94c933fa61851dba0c7a8.png,会员专享,411.2万追番,全12话,这个勇者明明超强却过分慎重,https://www.bilibili.com/bangumi/play/ss28625
http://i0.hdslb.com/bfs/bangumi/207b3c90f16629eb54f060d54d5efb7d29bb9563.jpg,会员专享,409.1万追番,全12话,干物妹！小埋,https://www.bilibili.com/bangumi/play/ss2580
http://i0.hdslb.com/bfs/bangumi/4de96771bc75627711470bf0864dda9c3e950bbc.png,会员专享,385.3万追剧,2019-07-12上映,命运之夜——天之杯II ：迷失之蝶,https://www.bilibili.com/bangumi/play/ss28332?theme=movie
http://i0.hdslb.com/bfs/bangumi/3fc16a667502cbff226e585eb660a96a20c7458c.png,会员专享,381.8万追番,全24话,多罗罗,https://www.bilibili.com/bangumi/play/ss26146
http://i0.hdslb.com/bfs/bangumi/1804e361cc9fefad1fd8be8245f3b35ff685ae1a.jpg,,380.1万追番,全25话,Fate/Apocrypha,https://www.bilibili.com/bangumi/play/ss6301
http://i0.hdslb.com/bfs/bangumi/f34ff3975c39913af936c133ae60a5891babba08.png,会员专享,377万追番,全39话,JOJO的奇妙冒险 黄金之风,https://www.bilibili.com/bangumi/play/ss25681
http://i0.hdslb.com/bfs/bangumi/de944b7c9306932d8dd3dcaeaf2eeec8670deec5.png,会员专享,370.7万追番,全25话,盾之勇者成名录,https://www.bilibili.com/bangumi/play/ss26284
http://i0.hdslb.com/bfs/bangumi/image/9bf9e66968f85b33ec3769a16c86b36dc984abbc.png,会员专享,369.6万追番,全13话,异度侵入 ID:INVADED,https://www.bilibili.com/bangumi/play/ss29310
http://i0.hdslb.com/bfs/bangumi/image/e67e09c9e48a32371a81100e0f65a61b18aabb24.png,,363.8万追番,全13话,Fate/stay night [Unlimited Blade Works] 第一季,https://www.bilibili.com/bangumi/play/ss1586
http://i0.hdslb.com/bfs/bangumi/image/47c0108259355d6d2c517ed97f6b90fb777f844f.png,会员专享,363.3万追番,全24话,JOJO的奇妙冒险  星尘远征军,https://www.bilibili.com/bangumi/play/ss4185
http://i0.hdslb.com/bfs/bangumi/image/ba59822eded39b5254fb01448a7f1502101d5624.png,会员专享,361.1万追番,全6话,齐木楠雄的灾难 始动篇,https://www.bilibili.com/bangumi/play/ss29052
http://i0.hdslb.com/bfs/bangumi/image/0310ac2b537fb8aed2eccd95a2762cf48bab0904.png,会员专享,355.2万追番,全12话,虚构推理,https://www.bilibili.com/bangumi/play/ss29366
http://i0.hdslb.com/bfs/bangumi/0406cd1398ad8ae0e9623bed5544d6002d8d30be.jpg,,354.8万追番,全13话,我的青春恋爱物语果然有问题。,https://www.bilibili.com/bangumi/play/ss1539
http://i0.hdslb.com/bfs/bangumi/image/f6709b76e88f50aa132d1e09e2d8de9663a09b3e.png,会员专享,353.4万追番,全24话,JOJO的奇妙冒险 星尘远征军 埃及篇,https://www.bilibili.com/bangumi/play/ss4213
http://i0.hdslb.com/bfs/bangumi/9c3e77244687a81e4b75e88ec22eeb8dbaa26380.jpg,,351.4万追番,全13话,Charlotte,https://www.bilibili.com/bangumi/play/ss2572
http://i0.hdslb.com/bfs/bangumi/image/6c1ca4159442a6de3577bbee5e583be72b00499f.jpg,会员专享,340.3万追番,全11话,我们仍未知道那天所看见的花的名字。,https://www.bilibili.com/bangumi/play/ss835
http://i0.hdslb.com/bfs/bangumi/cb536ffb951d5730075012375785d649ce8bccc8.jpg,,338.1万追番,全13话,路人女主的养成方法,https://www.bilibili.com/bangumi/play/ss1512
http://i0.hdslb.com/bfs/bangumi/f7175cd20de509e2bfd43255c28cf4e24841480d.jpg,,337万追番,全12话,NO GAME NO LIFE 游戏人生,https://www.bilibili.com/bangumi/play/ss184
http://i0.hdslb.com/bfs/bangumi/6fbd8eba88bbe5ea90b760771e5fca61117c00e9.png,会员专享,336.7万追番,全12话,五等分的新娘,https://www.bilibili.com/bangumi/play/ss26283
http://i0.hdslb.com/bfs/bangumi/b0207dd5dd7a1ce700b9e8f4dbbcfe03c922be6a.jpg,,335万追番,全12话,龙王的工作！,https://www.bilibili.com/bangumi/play/ss21554
http://i0.hdslb.com/bfs/bangumi/image/70497cb24cde8488f3a93bbf5bdee168188e826b.jpg,会员专享,327.7万追番,全12话,路人女主的养成方法 ♭,https://www.bilibili.com/bangumi/play/ss5971
http://i0.hdslb.com/bfs/bangumi/87afa5c4ec666fa4a17cb5c5e218aaf5d8032909.png,会员专享,319万追番,全1话,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,https://www.bilibili.com/bangumi/play/ss28610
